Train,Station,Prev Block,Start Block,End Block,Arrival Time,Driver,Crew 1,Crew 2
1,Glenbury 1,152,152,65,2024-08-01 00:01:13.845714,Alejandro,Alice,Barbra
1,Whited 2,64,65,22,2024-08-01 00:20:50.507982,Alejandro,Alice,Barbra
1,Glenbury 1,22,22,65,2024-08-01 00:21:20.507982,Alejandro,Alice,Barbra
1,Whited 2,64,65,22,2024-08-01 00:40:57.170250,Alejandro,Alice,Barbra
1,Glenbury 1,22,22,65,2024-08-01 00:41:27.170250,Alejandro,Alice,Barbra
1,Whited 2,64,65,22,2024-08-01 01:01:03.832518,Alejandro,Alice,Barbra
1,Glenbury 1,22,22,65,2024-08-01 01:01:33.832518,Alejandro,Alice,Barbra
1,Whited 2,64,65,22,2024-08-01 01:21:10.494786,Alejandro,Alice,Barbra
1,Glenbury 1,22,22,65,2024-08-01 01:21:40.494786,Alejandro,Alice,Barbra
1,Whited 2,64,65,22,2024-08-01 01:41:17.157054,Alejandro,Alice,Barbra
1,Glenbury 1,22,22,65,2024-08-01 01:41:47.157054,Alejandro,Alice,Barbra
1,Whited 2,64,65,22,2024-08-01 02:01:23.819322,Alejandro,Alice,Barbra
1,Glenbury 1,22,22,65,2024-08-01 02:01:53.819322,Alejandro,Alice,Barbra
1,Whited 2,64,65,22,2024-08-01 02:21:30.481590,Alejandro,Alice,Barbra
1,Glenbury 1,22,22,65,2024-08-01 02:22:00.481590,Alejandro,Alice,Barbra
1,Whited 2,64,65,22,2024-08-01 02:41:37.143858,Alejandro,Alice,Barbra
1,Glenbury 1,22,22,65,2024-08-01 02:42:07.143858,Alejandro,Alice,Barbra
1,Whited 2,64,65,22,2024-08-01 03:01:43.806126,Alejandro,Alice,Barbra
1,Glenbury 1,22,22,65,2024-08-01 03:02:13.806126,Alejandro,Alice,Barbra
1,Whited 2,64,65,22,2024-08-01 03:21:50.468394,Alejandro,Alice,Barbra
1,Glenbury 1,22,22,65,2024-08-01 03:22:20.468394,Alejandro,Alice,Barbra
1,Whited 2,64,65,22,2024-08-01 03:41:57.130662,Alejandro,Alice,Barbra
1,Glenbury 1,22,22,65,2024-08-01 03:42:27.130662,Alejandro,Alice,Barbra
1,Whited 2,64,65,22,2024-08-01 04:02:03.792930,Alejandro,Alice,Barbra
1,Yard,22,22,152,2024-08-01 04:02:33.792930,Alejandro,Alice,Barbra
1,Glenbury 1,152,152,65,2024-08-01 04:33:09.484358,Alejandro,Alice,Barbra
1,Whited 2,64,65,22,2024-08-01 04:52:46.146626,Alejandro,Alice,Barbra
1,Glenbury 1,22,22,65,2024-08-01 04:53:16.146626,Alejandro,Alice,Barbra
1,Whited 2,64,65,22,2024-08-01 05:12:52.808894,Alejandro,Alice,Barbra
1,Glenbury 1,22,22,65,2024-08-01 05:13:22.808894,Alejandro,Alice,Barbra
1,Whited 2,64,65,22,2024-08-01 05:32:59.471162,Alejandro,Alice,Barbra
1,Glenbury 1,22,22,65,2024-08-01 05:33:29.471162,Alejandro,Alice,Barbra
1,Whited 2,64,65,22,2024-08-01 05:53:06.133430,Alejandro,Alice,Barbra
1,Glenbury 1,22,22,65,2024-08-01 05:53:36.133430,Alejandro,Alice,Barbra
1,Whited 2,64,65,22,2024-08-01 06:13:12.795698,Alejandro,Alice,Barbra
1,Glenbury 1,22,22,65,2024-08-01 06:13:42.795698,Alejandro,Alice,Barbra
1,Whited 2,64,65,22,2024-08-01 06:33:19.457966,Alejandro,Alice,Barbra
1,Glenbury 1,22,22,65,2024-08-01 06:33:49.457966,Alejandro,Alice,Barbra
1,Whited 2,64,65,22,2024-08-01 06:53:26.120234,Alejandro,Alice,Barbra
1,Glenbury 1,22,22,65,2024-08-01 06:53:56.120234,Alejandro,Alice,Barbra
1,Whited 2,64,65,22,2024-08-01 07:13:32.782502,Alejandro,Alice,Barbra
1,Glenbury 1,22,22,65,2024-08-01 07:14:02.782502,Alejandro,Alice,Barbra
1,Whited 2,64,65,22,2024-08-01 07:33:39.444770,Alejandro,Alice,Barbra
1,Glenbury 1,22,22,65,2024-08-01 07:34:09.444770,Alejandro,Alice,Barbra
1,Whited 2,64,65,22,2024-08-01 07:53:46.107038,Alejandro,Alice,Barbra
1,Glenbury 1,22,22,65,2024-08-01 07:54:16.107038,Alejandro,Alice,Barbra
1,Whited 2,64,65,22,2024-08-01 08:13:52.769306,Alejandro,Alice,Barbra
1,Glenbury 1,22,22,65,2024-08-01 08:14:22.769306,Alejandro,Alice,Barbra
1,Glenbury 1,65,65,65,2024-08-01 08:14:52.769306,Alejandro,Alice,Barbra
1,Glenbury 1,65,65,65,2024-08-01 08:15:22.769306,Alejandro,Alice,Barbra
1,Glenbury 1,65,65,65,2024-08-01 08:15:52.769306,Alejandro,Alice,Barbra
1,Glenbury 1,65,65,65,2024-08-01 08:16:22.769306,Alejandro,Alice,Barbra
1,Glenbury 1,65,65,65,2024-08-01 08:16:52.769306,Alejandro,Alice,Barbra
1,Glenbury 1,65,65,65,2024-08-01 08:17:22.769306,Alejandro,Alice,Barbra
1,Glenbury 1,65,65,65,2024-08-01 08:17:52.769306,Alejandro,Alice,Barbra
1,Glenbury 1,65,65,65,2024-08-01 08:18:22.769306,Alejandro,Alice,Barbra
1,Glenbury 1,65,65,65,2024-08-01 08:18:52.769306,Alejandro,Alice,Barbra
1,Glenbury 1,65,65,65,2024-08-01 08:19:22.769306,Alejandro,Alice,Barbra
1,Glenbury 1,65,65,65,2024-08-01 08:19:52.769306,Alejandro,Alice,Barbra
1,Glenbury 1,65,65,65,2024-08-01 08:20:22.769306,Alejandro,Alice,Barbra
1,Glenbury 1,65,65,65,2024-08-01 08:20:52.769306,Alejandro,Alice,Barbra
1,Glenbury 1,65,65,65,2024-08-01 08:21:22.769306,Alejandro,Alice,Barbra
1,Glenbury 1,65,65,65,2024-08-01 08:21:52.769306,Alejandro,Alice,Barbra
1,Glenbury 1,65,65,65,2024-08-01 08:22:22.769306,Alejandro,Alice,Barbra
1,Glenbury 1,65,65,65,2024-08-01 08:22:52.769306,Alejandro,Alice,Barbra
1,Glenbury 1,65,65,65,2024-08-01 08:23:22.769306,Alejandro,Alice,Barbra
1,Glenbury 1,65,65,65,2024-08-01 08:23:52.769306,Alejandro,Alice,Barbra
1,Glenbury 1,65,65,65,2024-08-01 08:24:22.769306,Alejandro,Alice,Barbra
1,Glenbury 1,65,65,65,2024-08-01 08:24:52.769306,Alejandro,Alice,Barbra
1,Glenbury 1,65,65,65,2024-08-01 08:25:22.769306,Alejandro,Alice,Barbra
1,Glenbury 1,65,65,65,2024-08-01 08:25:52.769306,Alejandro,Alice,Barbra
1,Glenbury 1,65,65,65,2024-08-01 08:26:22.769306,Alejandro,Alice,Barbra
